epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9499,0.7131,2.75298,0.97676,0.03962,1,0.72977,0.57846,0.52779,2.59852,0.84671,0.00015003,0.00015003,0.00015003
2,90.7479,0.38642,2.1776,0.85119,0.04084,1,0.99357,0.82113,0.52074,2.53787,0.85119,0.000285374,0.000285374,0.000285374
3,130.808,0.40935,1.55434,0.83874,0.03606,1,0.995,0.81734,0.50332,2.4338,0.82694,0.000387711,0.000387711,0.000387711
4,171.214,0.39454,1.1462,0.84349,0.03422,1,0.995,0.84406,0.56534,2.28732,0.83913,0.000457041,0.000457041,0.000457041
5,222.051,0.34911,0.91632,0.82984,1,0.4881,0.97781,0.88495,0.46931,2.10603,0.80193,0.000493365,0.000493365,0.000493365
6,263.653,0.33621,0.77268,0.83358,0.99749,0.5,0.995,0.90666,0.46094,1.91306,0.77821,0.000496683,0.000496683,0.000496683
7,310.874,0.33927,0.6932,0.8269,0.99661,0.54228,0.995,0.92679,0.43215,1.72333,0.76932,0.000466993,0.000466993,0.000466993
8,355.568,0.31567,0.63847,0.81616,0.99615,0.88202,0.995,0.91157,0.40224,1.37721,0.78332,0.000404298,0.000404298,0.000404298
9,396.193,0.28955,0.61076,0.79842,0.99533,1,0.995,0.93585,0.37201,1.232,0.79396,0.000308595,0.000308595,0.000308595
10,440.224,0.26962,0.58685,0.7931,0.99586,1,0.995,0.96102,0.30256,0.96834,0.78559,0.000179886,0.000179886,0.000179886
